Consignee_Name,Location,LinkedIn URL,LinkedIn Connected People,Company Website,Phone Numbers,Email
SPICE CITY TRADING CO, Saudi Arabia,https://www.linkedin.com/company/alajm,"https://in.linkedin.com/company/vad-industries, https://sa.linkedin.com/in/safwanzendaki/en, https://www.eximpedia.app/companies/spice-city-trading-co/61049242, https://www.trademo.com/companies/spice-city-trading-company/40665865, https://ca.linkedin.com/in/mark-field-43822854, https://kw.linkedin.com/in/taher-ali-asgar-ali-78a7a11a1, https://en.wikipedia.org/wiki/Burger_King, https://www.fsis.usda.gov/sites/default/files/media_file/2021-03/FPLIC_2a_Labeling.pdf, https://www.accessdata.fda.gov/cms_ia/importalert_263.html, https://www.ttb.gov/faqs/alcohol, https://www.accessdata.fda.gov/cms_ia/importalert_111.html",https://www.spicytradeco.com/,+20 10 0577 6456,
ROYAL DOHA TRADING WLL,Qatar,https://www.linkedin.com/company/royal-doha-trading-contracting-and-services-wll,"https://www.linkedin.com/company/royal-doha-trading-contracting-and-services-wll, https://www.linkedin.com/company/royal-builders-trading-contracting, https://www.linkedin.com/pub/dir/Royal/Qatar, https://www.gao.gov/products/b-412769%2Cb-412769.2%2Cb-412769.3, https://royaldoha.org/board-of-directors.php, https://lk.linkedin.com/in/safwan-royal-9a161892, https://www.linkedin.com/pub/dir/Royal/Trading, https://www.tradeatlas.com/en/firms/royal-doha-trading-w-l-l/85a071c6d85e273d, https://www.volza.com/company-profile/royal-doha-trading-w-l-l-19390973/, https://royaldoha.org/about-company.php",https://royaldohatrading.com/contact.php,"+974 4038 8615, +974 6681 5861, +974 4480 4962, +974 3366 3395","info@royaldohatrading.com, royaldoh@rading.com"
Al Tayeb Distribution, United Arab Emirates,https://www.linkedin.com/company/youwish-general-trading-llc,"https://www.linkedin.com/company/al-tayeb-distribution/, https://ae.linkedin.com/in/gafu, https://www.linkedin.com/company/al-tayeb, https://ae.linkedin.com/in/shamsudheen-avarukunnu-310967ba, https://ae.linkedin.com/in/muhammed-fayis-726771207, https://www.zoominfo.com/pic/al-tayeb/1334771372, https://www.tradeatlas.com/en/firms/al-tayeb-distribution-sole-proprietorship-llc/341261d7247a8a0e, https://www.covestro-offer.com/download/companies/ma4417/4417_1offer/CovestroAG_OfferDocument.pdf, https://icsid.worldbank.org/fr/affaires-en-cours, https://ae.linkedin.com/in/muhammad-suni-7a15221b8",https://www.altayeb.ae/,+971 2 494 9111,
Brisco Hospitality Supplies Pty Ltd, Australia,https://www.linkedin.com/company/brisco-hospitality-supplies-pty-ltd,"https://au.linkedin.com/in/mary-john-b4217774, https://www.tradeatlas.com/en/firms/brisco-hospitality-supplies-pty-ltd/1da6bf0b30253ac8, https://www.trademo.com/companies/brisco-hospitality-supplies-pty-limited/40666247, https://www.volza.com/company-profile/brisco-hospitality-supplies-pty-ltd-19621826/, https://www.thetradevision.com/global/buyer/brisco-hospitality-supplies-pty-lt/australia/53781216, https://en.52wmb.com/buyer/88687118, https://www.bostongrp.com.au/practice-vcat-and-court-decisions.html, https://cabinet.qld.gov.au/documents/2010/jan/2009%20nikon%20super%20gp/attachments/report%20on%202009%20nikon%20super%20gp.pdf, https://cases.stretto.com/public/X234/12125/PLEADINGS/1212505222480000000143.pdf, https://u3anunawading.org.au/wp-content/uploads/2024/08/Annual-Report-2023-2024-web.pdf",https://perthcafes.com.au/hospitality-suppliers-perth/,"4006
1300 721 694, 6165
08 9409 6166, +61 8 9350 2880, +61 8 9336 3331, (08) 9258 8318, +61 8 9428 0200, 08 9446 9800, +61 1300 998 768, +61 430 821 240, (08) 9345 2255, 005
(08) 9228 1238, +61 424 367 170, +61 8 9499 2700, +61 8 9244 3055, 3912
1800 705 314",
Harman Impex NZ Ltd, New Zealand,https://nz.linkedin.com/company/harman-impex-nz-ltd,"https://nz.linkedin.com/in/manjeet-chawla-79974b7, https://nz.linkedin.com/company/harman-impex-nz-ltd, https://nz.linkedin.com/in/nikichawla, https://www.harmanimpex.co.nz/, https://www.harmanimpex.co.nz/about, https://www.harmanimpex.co.nz/contact, https://rocketreach.co/manjeet-chawla-email_27764603, https://nz.linkedin.com/in/darshit-trivedi-8609a2227, https://gazette.govt.nz/notice/id/2024-ds523, https://gazette.govt.nz/notice/id/2024-ds1683",https://harmanimpexnz.com/contact-us/,+64 9 828 6642,FriCONTACTharmanimpexnz@gmail.com
MS DATAR SONS LIMITED LLC,United Arab Emirates,,"https://ae.linkedin.com/in/sanjay-datar-532417b1, https://in.linkedin.com/company/datar-sons-limited-llc?trk=public_profile_experience-item_profile-section-card_subtitle-click, https://in.linkedin.com/company/datar-sons-limited-llc, https://ae.linkedin.com/in/rithesh-nampelli-5a79811a, https://www.foodubai.com/viewdetails.aspx?item=673, https://www.sec.gov/Archives/edgar/data/1243429/000115697307001457/y01811b3e424b3.htm, https://www.sec.gov/Archives/edgar/data/1283699/000119312514157312/d630442ddef14a.htm, https://www.sec.gov/Archives/edgar/data/1403882/000119312507149766/d424b3.htm, https://www.thetradevision.com/global/hing-asafoetida-import-export-data, https://www.sec.gov/Archives/edgar/data/1313310/000114554908001180/h02250e20vf.htm",https://datarspices.ae/contact-us,"+91 22 40051599, 9716 7435240, 971 674 3524, 91 22 4004 2208, 9716 7436963, +91 22 2666 1965, +91 9820874721",datarsm@eim.ae
Indya Foods Pty Ltd, Australia,https://au.linkedin.com/company/fomo-snacks,"https://au.linkedin.com/company/india-bazaar-pty-ltd, https://in.linkedin.com/company/ads-food-consultancy, https://ch.linkedin.com/company/india-bazaar-pty-ltd, https://se.linkedin.com/company/india-bazaar-pty-ltd, https://tr.linkedin.com/company/india-bazaar-pty-ltd, https://www.linkedin.com/in/rohit-nayar-462a3122a, https://au.linkedin.com/in/murali-metlapalli-00640352, https://m.facebook.com/indyafoodspty.ltd/mentions/, https://bestfoodimporters.com/company/indya-foods-pty-ltd/, https://www.eximpedia.app/companies/to-order-indya-foods-pty-limited/06452379, https://au.linkedin.com/in/annemareescarce, https://rocketreach.co/indya-foods-pvt-profile_b4431c7bfa0adfa6, https://in.linkedin.com/in/pkumars1, https://au.linkedin.com/in/richard-goodman-7571b125, https://www.zoominfo.com/c/indya-foods-pty-ltd/345560010",https://www.indyafoods.com.au/,03 9793 5373,indyafoods@indyafoods.com.au
Prince Foods UK Ltd, United Kingdom,https://uk.linkedin.com/company/princes-limited/jobs,"https://uk.linkedin.com/in/simon-harrison-9a0aaa106, https://uk.linkedin.com/in/cameron-mackintosh-4520191a5, https://uk.linkedin.com/company/princes-limited, https://www.princesgroup.com/, https://www.princesgroup.com/wp-content/uploads/2021/09/Princes-Supply-Chain-Map-Protected.xlsx, https://uk.linkedin.com/in/prince-kamalaneson, https://uk.linkedin.com/in/neil-bohannon-1523a520b, https://www.south32.net/about-us/our-board-and-lead-team, https://uk.linkedin.com/in/mariogiovannelli, http://www.commonlii.org/in/journals/NLUDLRS/2011/8.pdf",https://www.princes.co.uk/contact-us/,,
Guangzhou Xing Zhu Food Technology Co Ltd,China,https://in.linkedin.com/company/bergner-group,"https://in.linkedin.com/company/bergner-group, https://cn.linkedin.com/in/zhenyu-zhu-7a914137, https://www.citic.com/uploadfile/2024/0422/20240422601941.pdf, http://www.hkexnews.hk/listedco/listconews/sehk/2024/0419/2024041900897.pdf, https://www.ecfr.gov/current/title-15/subtitle-B/chapter-VII/subchapter-C/part-744/appendix-Supplement%20No.%204%20to%20Part%20744, https://www.cecc.gov/sites/evo-subsites/cecc.house.gov/files/2024-12/2024-CECC-Annual-Report.pdf, https://www.citicbank.com/about/investor_1011/financialaffairs/report/2023/202404/P020240429732182698660.pdf, https://htm.sf-express.com/hk/en/download/Special_Warehouse_Service_CN_EN.pdf, https://group.pingan.com/resource/pingan/IR-Docs/2024/pingan-ar23-report.pdf, https://vanke.com/upload/file/2024-04-09/8d95c70b-2b4f-4c53-bd89-3a122b4aaa1b.pdf, https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0321/2024032101260.pdf",http://en.chinafoodtech.com.cn/,"05015693, 110105012346",
JFR Enterprise, Bangladesh,,"https://www.tradeatlas.com/en/firms/jfr-enterprise/b49bde17017c6aa5, https://hallboothsmith.com/attorney/john-e-hall-jr/, https://navy.mil.ph/filest.php?t=aDZXL2xURC9jZm1nK0FrMWFwZzlGUT09, https://www.specialolympicsva.org/about/meet-our-team, https://docs.legis.wisconsin.gov/document/statutes/440.52(13)(c)3., https://www.congress.gov/congressional-report/118th-congress/house-report/146/1, https://www.congress.gov/bill/118th-congress/senate-bill/2438/text, https://www.gocivilairpatrol.com/programs/cadets/activities/encampment, https://en.wikipedia.org/wiki/General_Motors, https://en.wikipedia.org/wiki/Church%27s_Texas_Chicken",https://oldweb.lged.gov.bd/districtprojectschemedetailsview.aspx?districtid=38,"255665064 2556, 6 255955059, 3 255954056, 255954078 2559, 255575138, 2840-5190, 255955113, 255855118 2558, 255573012, 255955016 2559, 2243-4760, 1519-1965, 75028 25557503, 255954017 2559, 7048-7605, 1000-1512, 55008 25595406, 75171 25557525, 75159 25557518, 255855006, 55069 25585509, 255955022 2559, 255574126 2555, 255575272 2555, 8 255575269, 2897-3897, 255575010 2555, 1170-1982, 2500-2738, 2874-3854, 255853001, 55074 25595507, 1100-2155, 255954043 2559, 55006 25595527, 255575135 2555, 255852005, 255954011 2559, 255955192 2559, 255665095 2556, 255855044, 255955017 2559, 255574055, 255665101, 255575081 2555, 1000-1734, 1000-2275, 255575289, 2000-2710, 54040 25595407, 15900-2310, 4 255665071, 255954044 2559, 01731862212, 8642-1590, 255575203, 55092 25585507, 255575030, 74095 25557518, 255954062 2559, 4575-5812, 255664090 2556, 0488-6253, 1500-4500, 8421-8921, 255575219 2555, 1200-1800, 4 255855089, 255663017, 255575284, 255954046 2559, 1708-2735, 23100-2392, 255574005 2555, 255665033, 255574121 2555, 1000-2000, 255663015, 1035-1572, 2656-2996, 255575172 2555, 255575282, 255574115 2558, 255575022, 255855016 2558, 255575040 2555, 255954020 2559, 255574052 2555, 255855256, 75151 25557524, 255665093 2556, 2500-3750, 255664054 2556, 255664077 2556, 1663-3005, 255575021 2555, 255665150 2556, 64073 25566408, 1500-2284, 255664086, 255855060 2558, 6 255955157, 7 255574084, 255575181, 255574087, 255572004, 255664018 2556, 1000-3600, 64004 25566504, 65173 25566521, 1522-3642, 255954003 2559, 255954073, 255575039 2555, 255664046, 255855193, 1500-2800, 255574117, 255663023, 255574084 2555, 255575016, 1800-2775, 255955298, 255852009, 55013 25585514, 255575166 2555, 255574128 2555, 55107 25585513, 255574102 2555, 255575004, 255663013, 64069 25566520, 255575017 2555, 255955065 2559, 255575103 2555, 1750-3475, 74071 25557409, 255664021 2556, 255574030 2555, 255662005, 255574029 2555, 255855064 2558, 1400-2404, 255665166, 54061 25595405, 74097 25557411, 255954049 2559, 8550-9100, 1500-6200, 255574124, 255575121 2555, 4300-4925, 55184 25595528, 255573010, 255574127, 1351-2000, 54045 25595503, 55150 25595516, 3334-1006, 255664029, 255572001 2555, 255574003, 255575102, 2705243, 255855156 2558, 255574066, 255574032 2555, 255575117, 255574053, 255574058, 64070 25566518, 255575208 2555, 255663022, 255855120, 01700976949, 2335-2600, 55132 25585524, 255853012, 6 255955271, 255662001, 255574046 2555, 255663023 2556, 255574003 2555, 1040-2555, 255575119 2555, 75106 25557515, 255854009 2558, 255954024 2559, 255574040, 1110-1450, 255855081 2558, 2887-3000, 255854017 2558, 255663009, 1500-1900, 55024 25585525, 255574018 2555, 255573009, 1 255575283, 2350-3352, 255575255, 55279 25595403, 255572011 2555, 255954021 2559, 255953014 2559, 255575183, 1150-3580, 2130-3800, 75250 25557526, 255575002 2555, 255575119, 255954068 2559, 255575243 2555, 4905-5905, 255663025, 255575113, 255955187, 3030-5030, 255955215 2559, 255852013, 55228 25595523, 255575158, 55134 25595520, 255573010 2559, 2000-3000, 75222 25557526, 255855017 2558, 255855101 2558, 255855016, 255575287 2555, 255575109, 255855032 2558, 255663006 2556, 255664024 2556, 9323346, 1250-2772, 255575023 2555, 255574067, 74112 25557409, 75272 25557528, 255855109, 75164 25557522, 9379060, 255955204 2559, 8580-1078, 5100-6000, 255955144, 2200-2990, 255953006 2559, 255855003, 255855034 2558, 255664045, 255664025 2556, 255662005 2556, 54065 25595514, 255954008 2559, 255855150 2558, 1000-1400, 255575212 2555, 255855031, 6 255955025, 55050 25595511, 255955262 2559, 75018 25557514, 255575110 2555, 3900-6650, 1000-2500, 64073 25566407, 255954072 2559, 255663012, 255574019, 255955280 2559, 255574032, 255575169, 255955011, 255575184 2555, 255852001, 255575006 2555, 255664019 2556, 255855022 2558, 255663014, 255574052, 255664074 2556, 65180 25566518, 255664026, 55083 25585507, 4 255665187, 1100-2100, 9 255955281, 1639-1916, 255574017, 55122 25557516, 255575225, 4 255575251, 255955164, 255955015 2559, 1850-2290, 1320-2000, 2800-3500, 5700-6324, 2555-4575, 74031 25557405, 1000-2580, 255954013 2559, 255575077, 255662007, 255853002, 65183 25566518, 55087 25585524, 255664044, 255575020 2555, 255853004 2558",
