Orma Plaza Gen Trad Co W L L, Kuwait(Email through Selenium)
ROYAL DOHA TRADING WLL,Qatar
MS DATAR SONS LIMITED LLC,United Arab Emirates
Indya Foods Pty Ltd, Australia
SPICE CITY TRADING CO, Saudi Arabia
Tasty Food International Trading LLC, United Arab Emirates
Al Tayeb Distribution, United Arab Emirates(No email)
VELS SPICES PTY LTD, Australia(No email)
Prince Foods UK Ltd, United Kingdom(No contact on page)
Belad Alsafwa for General Trading Ltd, Iraq(No contact on page)
ASIAN BISCUIT AND CONFECTIONERY P LIMITED, Nepal(No contact on page)
Asim NZ Limited, New Zealand(No contact on page)
1598682 Ontario Ltd, Canada(No contacts but fetches gibberish)
Brisco Hospitality Supplies Pty Ltd, Australia(No website)

Harman Impex NZ Ltd, New Zealand(Redirects)
JFR Enterprise, Bangladesh(No website)

Aiva Products, United States - +1 (832) 303-6153

SPICE CITY TRADING CO, Saudi Arabia(Wrong website)
